2021-01-12 01:32:19 configure libsigsegv2:amd64 2.12-2 <none>
2021-01-12 01:32:19 status unpacked libsigsegv2:amd64 2.12-2
2021-01-12 01:32:19 status half-configured libsigsegv2:amd64 2.12-2
2021-01-12 01:32:19 status installed libsigsegv2:amd64 2.12-2
2021-01-12 01:32:19 configure xz-utils:amd64 5.2.4-1 <none>
2021-01-12 01:32:19 status unpacked xz-utils:amd64 5.2.4-1
2021-01-12 01:32:19 status half-configured xz-utils:amd64 5.2.4-1
2021-01-12 01:32:19 status installed xz-utils:amd64 5.2.4-1
2021-01-12 01:32:19 configure libquadmath0:amd64 8.3.0-6 <none>
2021-01-12 01:32:19 status unpacked libquadmath0:amd64 8.3.0-6
2021-01-12 01:32:19 status half-configured libquadmath0:amd64 8.3.0-6
2021-01-12 01:32:19 status installed libquadmath0:amd64 8.3.0-6
2021-01-12 01:32:19 configure libmpc3:amd64 1.1.0-1 <none>
2021-01-12 01:32:19 status unpacked libmpc3:amd64 1.1.0-1
2021-01-12 01:32:19 status half-configured libmpc3:amd64 1.1.0-1
2021-01-12 01:32:19 status installed libmpc3:amd64 1.1.0-1
2021-01-12 01:32:19 configure libatomic1:amd64 8.3.0-6 <none>
2021-01-12 01:32:19 status unpacked libatomic1:amd64 8.3.0-6
2021-01-12 01:32:19 status half-configured libatomic1:amd64 8.3.0-6
2021-01-12 01:32:19 status installed libatomic1:amd64 8.3.0-6
2021-01-12 01:32:19 configure patch:amd64 2.7.6-3+deb10u1 <none>
2021-01-12 01:32:19 status unpacked patch:amd64 2.7.6-3+deb10u1
2021-01-12 01:32:19 status half-configured patch:amd64 2.7.6-3+deb10u1
2021-01-12 01:32:19 status installed patch:amd64 2.7.6-3+deb10u1
2021-01-12 01:32:19 configure libk5crypto3:amd64 1.17-3+deb10u1 <none>
2021-01-12 01:32:19 status unpacked libk5crypto3:amd64 1.17-3+deb10u1
2021-01-12 01:32:19 status half-configured libk5crypto3:amd64 1.17-3+deb10u1
2021-01-12 01:32:19 status installed libk5crypto3:amd64 1.17-3+deb10u1
2021-01-12 01:32:19 configure libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1 <none>
2021-01-12 01:32:19 status unpacked libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2021-01-12 01:32:19 status half-configured libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2021-01-12 01:32:19 status installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2021-01-12 01:32:19 configure libmpx2:amd64 8.3.0-6 <none>
2021-01-12 01:32:19 status unpacked libmpx2:amd64 8.3.0-6
2021-01-12 01:32:19 status half-configured libmpx2:amd64 8.3.0-6
2021-01-12 01:32:19 status installed libmpx2:amd64 8.3.0-6
2021-01-12 01:32:19 configure libubsan1:amd64 8.3.0-6 <none>
2021-01-12 01:32:19 status unpacked libubsan1:amd64 8.3.0-6
2021-01-12 01:32:19 status half-configured libubsan1:amd64 8.3.0-6
2021-01-12 01:32:19 status installed libubsan1:amd64 8.3.0-6
2021-01-12 01:32:19 configure libisl19:amd64 0.20-2 <none>
2021-01-12 01:32:19 status unpacked libisl19:amd64 0.20-2
2021-01-12 01:32:19 status half-configured libisl19:amd64 0.20-2
2021-01-12 01:32:19 status installed libisl19:amd64 0.20-2
2021-01-12 01:32:19 configure libssh2-1:amd64 1.8.0-2.1 <none>
2021-01-12 01:32:19 status unpacked libssh2-1:amd64 1.8.0-2.1
